# Nifty Midcap 100 constituents
# Snapshot date: 2026-08-25
# Source: https://niftyindices.com/IndexConstituent/ind_niftymidcap100list.csv
# Applied retroactively across the whole backtest - see the survivorship-bias note in src/universe.py.
ticker,name,sector,index
360ONE.NS,360 ONE WAM Ltd.,Financial Services,Nifty Midcap 100
ABCAPITAL.NS,Aditya Birla Capital Ltd.,Financial Services,Nifty Midcap 100
ALKEM.NS,Alkem Laboratories Ltd.,Healthcare,Nifty Midcap 100
APLAPOLLO.NS,APL Apollo Tubes Ltd.,Capital Goods,Nifty Midcap 100
ASHOKLEY.NS,Ashok Leyland Ltd.,Capital Goods,Nifty Midcap 100
ASTRAL.NS,Astral Ltd.,Capital Goods,Nifty Midcap 100
ATGL.NS,Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,Nifty Midcap 100
AUBANK.NS,AU Small Finance Bank Ltd.,Financial Services,Nifty Midcap 100
AUROPHARMA.NS,Aurobindo Pharma Ltd.,Healthcare,Nifty Midcap 100
BANKINDIA.NS,Bank of India,Financial Services,Nifty Midcap 100
BDL.NS,Bharat Dynamics Ltd.,Capital Goods,Nifty Midcap 100
BHARATFORG.NS,Bharat Forge Ltd.,Automobile and Auto Components,Nifty Midcap 100
BHEL.NS,Bharat Heavy Electricals Ltd.,Capital Goods,Nifty Midcap 100
BIOCON.NS,Biocon Ltd.,Healthcare,Nifty Midcap 100
BLUESTARCO.NS,Blue Star Ltd.,Consumer Durables,Nifty Midcap 100
BSE.NS,BSE Ltd.,Financial Services,Nifty Midcap 100
COCHINSHIP.NS,Cochin Shipyard Ltd.,Capital Goods,Nifty Midcap 100
COFORGE.NS,Coforge Ltd.,Information Technology,Nifty Midcap 100
COLPAL.NS,Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,Nifty Midcap 100
CONCOR.NS,Container Corporation of India Ltd.,Services,Nifty Midcap 100
COROMANDEL.NS,Coromandel International Ltd.,Chemicals,Nifty Midcap 100
DABUR.NS,Dabur India Ltd.,Fast Moving Consumer Goods,Nifty Midcap 100
DIXON.NS,Dixon Technologies (India) Ltd.,Consumer Durables,Nifty Midcap 100
EXIDEIND.NS,Exide Industries Ltd.,Automobile and Auto Components,Nifty Midcap 100
FEDERALBNK.NS,Federal Bank Ltd.,Financial Services,Nifty Midcap 100
FORTIS.NS,Fortis Healthcare Ltd.,Healthcare,Nifty Midcap 100
GLENMARK.NS,Glenmark Pharmaceuticals Ltd.,Healthcare,Nifty Midcap 100
GMRAIRPORT.NS,GMR Airports Ltd.,Services,Nifty Midcap 100
GODFRYPHLP.NS,Godfrey Phillips India Ltd.,Fast Moving Consumer Goods,Nifty Midcap 100
GODREJPROP.NS,Godrej Properties Ltd.,Realty,Nifty Midcap 100
GROWW.NS,Billionbrains Garage Ventures Ltd.,Financial Services,Nifty Midcap 100
GVT&D.NS,GE Vernova T&D India Ltd.,Capital Goods,Nifty Midcap 100
HAVELLS.NS,Havells India Ltd.,Consumer Durables,Nifty Midcap 100
HEROMOTOCO.NS,Hero MotoCorp Ltd.,Automobile and Auto Components,Nifty Midcap 100
HINDPETRO.NS,Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,Nifty Midcap 100
HUDCO.NS,Housing & Urban Development Corporation Ltd.,Financial Services,Nifty Midcap 100
ICICIAMC.NS,ICICI Prudential Asset Management Company Ltd.,Financial Services,Nifty Midcap 100
ICICIGI.NS,ICICI Lombard General Insurance Company Ltd.,Financial Services,Nifty Midcap 100
IDEA.NS,Vodafone Idea Ltd.,Telecommunication,Nifty Midcap 100
IDFCFIRSTB.NS,IDFC First Bank Ltd.,Financial Services,Nifty Midcap 100
INDIANB.NS,Indian Bank,Financial Services,Nifty Midcap 100
INDUSINDBK.NS,IndusInd Bank Ltd.,Financial Services,Nifty Midcap 100
INDUSTOWER.NS,Indus Towers Ltd.,Telecommunication,Nifty Midcap 100
IRCTC.NS,Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services,Nifty Midcap 100
IREDA.NS,Indian Renewable Energy Development Agency Ltd.,Financial Services,Nifty Midcap 100
JSWENERGY.NS,JSW Energy Ltd.,Power,Nifty Midcap 100
JUBLFOOD.NS,Jubilant Foodworks Ltd.,Consumer Services,Nifty Midcap 100
KALYANKJIL.NS,Kalyan Jewellers India Ltd.,Consumer Durables,Nifty Midcap 100
KEI.NS,KEI Industries Ltd.,Capital Goods,Nifty Midcap 100
KPITTECH.NS,KPIT Technologies Ltd.,Information Technology,Nifty Midcap 100
LAURUSLABS.NS,Laurus Labs Ltd.,Healthcare,Nifty Midcap 100
LENSKART.NS,Lenskart Solutions Ltd.,Consumer Services,Nifty Midcap 100
LGEINDIA.NS,LG Electronics India Ltd.,Consumer Durables,Nifty Midcap 100
LICHSGFIN.NS,LIC Housing Finance Ltd.,Financial Services,Nifty Midcap 100
LTF.NS,L&T Finance Ltd.,Financial Services,Nifty Midcap 100
LUPIN.NS,Lupin Ltd.,Healthcare,Nifty Midcap 100
M&MFIN.NS,Mahindra & Mahindra Financial Services Ltd.,Financial Services,Nifty Midcap 100
MANKIND.NS,Mankind Pharma Ltd.,Healthcare,Nifty Midcap 100
MARICO.NS,Marico Ltd.,Fast Moving Consumer Goods,Nifty Midcap 100
MCX.NS,Multi Commodity Exchange of India Ltd.,Financial Services,Nifty Midcap 100
MFSL.NS,Max Financial Services Ltd.,Financial Services,Nifty Midcap 100
MOTILALOFS.NS,Motilal Oswal Financial Services Ltd.,Financial Services,Nifty Midcap 100
MPHASIS.NS,MphasiS Ltd.,Information Technology,Nifty Midcap 100
MRF.NS,MRF Ltd.,Automobile and Auto Components,Nifty Midcap 100
NATIONALUM.NS,National Aluminium Co. Ltd.,Metals & Mining,Nifty Midcap 100
NAUKRI.NS,Info Edge (India) Ltd.,Consumer Services,Nifty Midcap 100
NHPC.NS,NHPC Ltd.,Power,Nifty Midcap 100
NMDC.NS,NMDC Ltd.,Metals & Mining,Nifty Midcap 100
NYKAA.NS,FSN E-Commerce Ventures Ltd.,Consumer Services,Nifty Midcap 100
OBEROIRLTY.NS,Oberoi Realty Ltd.,Realty,Nifty Midcap 100
OFSS.NS,Oracle Financial Services Software Ltd.,Information Technology,Nifty Midcap 100
OIL.NS,Oil India Ltd.,Oil Gas & Consumable Fuels,Nifty Midcap 100
PAGEIND.NS,Page Industries Ltd.,Textiles,Nifty Midcap 100
PATANJALI.NS,Patanjali Foods Ltd.,Fast Moving Consumer Goods,Nifty Midcap 100
PAYTM.NS,One 97 Communications Ltd.,Financial Services,Nifty Midcap 100
PERSISTENT.NS,Persistent Systems Ltd.,Information Technology,Nifty Midcap 100
PHOENIXLTD.NS,Phoenix Mills Ltd.,Realty,Nifty Midcap 100
PIIND.NS,PI Industries Ltd.,Chemicals,Nifty Midcap 100
POLICYBZR.NS,PB Fintech Ltd.,Financial Services,Nifty Midcap 100
POLYCAB.NS,Polycab India Ltd.,Capital Goods,Nifty Midcap 100
POWERINDIA.NS,Hitachi Energy India Ltd.,Capital Goods,Nifty Midcap 100
PREMIERENE.NS,Premier Energies Ltd.,Capital Goods,Nifty Midcap 100
PRESTIGE.NS,Prestige Estates Projects Ltd.,Realty,Nifty Midcap 100
RADICO.NS,Radico Khaitan Ltd,Fast Moving Consumer Goods,Nifty Midcap 100
RVNL.NS,Rail Vikas Nigam Ltd.,Construction,Nifty Midcap 100
SAIL.NS,Steel Authority of India Ltd.,Metals & Mining,Nifty Midcap 100
SBICARD.NS,SBI Cards and Payment Services Ltd.,Financial Services,Nifty Midcap 100
SRF.NS,SRF Ltd.,Chemicals,Nifty Midcap 100
SUPREMEIND.NS,Supreme Industries Ltd.,Capital Goods,Nifty Midcap 100
SUZLON.NS,Suzlon Energy Ltd.,Capital Goods,Nifty Midcap 100
SWIGGY.NS,Swiggy Ltd.,Consumer Services,Nifty Midcap 100
TATACOMM.NS,Tata Communications Ltd.,Telecommunication,Nifty Midcap 100
TATAELXSI.NS,Tata Elxsi Ltd.,Information Technology,Nifty Midcap 100
TATAINVEST.NS,Tata Investment Corporation Ltd.,Financial Services,Nifty Midcap 100
TIINDIA.NS,Tube Investments of India Ltd.,Automobile and Auto Components,Nifty Midcap 100
UPL.NS,UPL Ltd.,Chemicals,Nifty Midcap 100
VMM.NS,Vishal Mega Mart Ltd.,Consumer Services,Nifty Midcap 100
VOLTAS.NS,Voltas Ltd.,Consumer Durables,Nifty Midcap 100
WAAREEENER.NS,Waaree Energies Ltd.,Capital Goods,Nifty Midcap 100
YESBANK.NS,Yes Bank Ltd.,Financial Services,Nifty Midcap 100
