# Nifty 100 constituents
# Snapshot date: 2023-08-08 (Internet Archive)
# Source: https://web.archive.org/web/20230808043706/https://niftyindices.com/IndexConstituent/ind_nifty100list.csv
ticker,name,sector,index
ABB.NS,ABB India Ltd.,Capital Goods,Nifty 100
ACC.NS,ACC Ltd.,Construction Materials,Nifty 100
ADANIENT.NS,Adani Enterprises Ltd.,Metals & Mining,Nifty 100
ADANIGREEN.NS,Adani Green Energy Ltd.,Power,Nifty 100
ADANIPORTS.NS,Adani Ports and Special Economic Zone Ltd.,Services,Nifty 100
ADANITRANS.NS,Adani Transmission Ltd.,Power,Nifty 100
AMBUJACEM.NS,Ambuja Cements Ltd.,Construction Materials,Nifty 100
APOLLOHOSP.NS,Apollo Hospitals Enterprise Ltd.,Healthcare,Nifty 100
ASIANPAINT.NS,Asian Paints Ltd.,Consumer Durables,Nifty 100
ATGL.NS,Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,Nifty 100
AWL.NS,Adani Wilmar Ltd.,Fast Moving Consumer Goods,Nifty 100
AXISBANK.NS,Axis Bank Ltd.,Financial Services,Nifty 100
BAJAJ-AUTO.NS,Bajaj Auto Ltd.,Automobile and Auto Components,Nifty 100
BAJAJFINSV.NS,Bajaj Finserv Ltd.,Financial Services,Nifty 100
BAJAJHLDNG.NS,Bajaj Holdings & Investment Ltd.,Financial Services,Nifty 100
BAJFINANCE.NS,Bajaj Finance Ltd.,Financial Services,Nifty 100
BANKBARODA.NS,Bank of Baroda,Financial Services,Nifty 100
BEL.NS,Bharat Electronics Ltd.,Capital Goods,Nifty 100
BERGEPAINT.NS,Berger Paints India Ltd.,Consumer Durables,Nifty 100
BHARTIARTL.NS,Bharti Airtel Ltd.,Telecommunication,Nifty 100
BOSCHLTD.NS,Bosch Ltd.,Automobile and Auto Components,Nifty 100
BPCL.NS,Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,Nifty 100
BRITANNIA.NS,Britannia Industries Ltd.,Fast Moving Consumer Goods,Nifty 100
CANBK.NS,Canara Bank,Financial Services,Nifty 100
CHOLAFIN.NS,Cholamandalam Investment and Finance Company Ltd.,Financial Services,Nifty 100
CIPLA.NS,Cipla Ltd.,Healthcare,Nifty 100
