# Nifty Smallcap 100 constituents
# Snapshot date: 2023-08-12 (Internet Archive)
# Source: https://web.archive.org/web/20230812163514/https://niftyindices.com/IndexConstituent/ind_niftysmallcap100list.csv
ticker,name,sector,index
AEGISCHEM.NS,Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,Nifty Smallcap 100
AMARAJABAT.NS,Amara Raja Batteries Ltd.,Automobile and Auto Components,Nifty Smallcap 100
AMBER.NS,Amber Enterprises India Ltd.,Consumer Durables,Nifty Smallcap 100
ANGELONE.NS,Angel One Ltd.,Financial Services,Nifty Smallcap 100
ANURAS.NS,Anupam Rasayan India Ltd.,Chemicals,Nifty Smallcap 100
BALAMINES.NS,Balaji Amines Ltd.,Chemicals,Nifty Smallcap 100
BALRAMCHIN.NS,Balrampur Chini Mills Ltd.,Fast Moving Consumer Goods,Nifty Smallcap 100
BCG.NS,Brightcom Group Ltd.,Information Technology,Nifty Smallcap 100
BDL.NS,Bharat Dynamics Ltd.,Capital Goods,Nifty Smallcap 100
BIKAJI.NS,Bikaji Foods International Ltd.,Fast Moving Consumer Goods,Nifty Smallcap 100
BIRLACORPN.NS,Birla Corporation Ltd.,Construction Materials,Nifty Smallcap 100
BORORENEW.NS,Borosil Renewables Ltd.,Capital Goods,Nifty Smallcap 100
BSE.NS,BSE Ltd.,Financial Services,Nifty Smallcap 100
BSOFT.NS,Birlasoft Ltd.,Information Technology,Nifty Smallcap 100
CAMPUS.NS,Campus Activewear Ltd.,Consumer Durables,Nifty Smallcap 100
CAMS.NS,Computer Age Management Services Ltd.,Financial Services,Nifty Smallcap 100
CANFINHOME.NS,Can Fin Homes Ltd.,Financial Services,Nifty Smallcap 100
CARBORUNIV.NS,Carborundum Universal Ltd.,Capital Goods,Nifty Smallcap 100
CDSL.NS,Central Depository Services (India) Ltd.,Financial Services,Nifty Smallcap 100
CENTRALBK.NS,Central Bank of India,Financial Services,Nifty Smallcap 100
CENTURYTEX.NS,Century Textile & Industries Ltd.,Forest Materials,Nifty Smallcap 100
CESC.NS,CESC Ltd.,Power,Nifty Smallcap 100
CHAMBLFERT.NS,Chambal Fertilizers & Chemicals Ltd.,Chemicals,Nifty Smallcap 100
COCHINSHIP.NS,Cochin Shipyard Ltd.,Capital Goods,Nifty Smallcap 100
CREDITACC.NS,CreditAccess Grameen Ltd.,Financial Services,Nifty Smallcap 100
CUB.NS,City Union Bank Ltd.,Financial Services,Nifty Smallcap 100
CYIENT.NS,Cyient Ltd.,Information Technology,Nifty Smallcap 100
DEEPAKFERT.NS,Deepak Fertilisers & Petrochemicals Corp. Ltd.,Chemicals,Nifty Smallcap 100
EASEMYTRIP.NS,Easy Trip Planners Ltd.,Consumer Services,Nifty Smallcap 100
EIDPARRY.NS,E.I.D. Parry (India) Ltd.,Chemicals,Nifty Smallcap 100
ELGIEQUIP.NS,Elgi Equipments Ltd.,Capital Goods,Nifty Smallcap 100
EXIDEIND.NS,Exide Industries Ltd.,Automobile and Auto Components,Nifty Smallcap 100
FACT.NS,Fertilisers and Chemicals Travancore Ltd.,Chemicals,Nifty Smallcap 100
FSL.NS,Firstsource Solutions Ltd.,Services,Nifty Smallcap 100
GLENMARK.NS,Glenmark Pharmaceuticals Ltd.,Healthcare,Nifty Smallcap 100
GMMPFAUDLR.NS,GMM Pfaudler Ltd.,Capital Goods,Nifty Smallcap 100
GNFC.NS,Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,Chemicals,Nifty Smallcap 100
GRANULES.NS,Granules India Ltd.,Healthcare,Nifty Smallcap 100
GRAPHITE.NS,Graphite India Ltd.,Capital Goods,Nifty Smallcap 100
HFCL.NS,HFCL Ltd.,Telecommunication,Nifty Smallcap 100
HINDCOPPER.NS,Hindustan Copper Ltd.,Metals & Mining,Nifty Smallcap 100
HUDCO.NS,Housing & Urban Development Corporation Ltd.,Financial Services,Nifty Smallcap 100
IDBI.NS,IDBI Bank Ltd.,Financial Services,Nifty Smallcap 100
IDFC.NS,IDFC Ltd.,Financial Services,Nifty Smallcap 100
IEX.NS,Indian Energy Exchange Ltd.,Financial Services,Nifty Smallcap 100
IIFL.NS,IIFL Finance Ltd.,Financial Services,Nifty Smallcap 100
INDIACEM.NS,India Cements Ltd.,Construction Materials,Nifty Smallcap 100
INDIAMART.NS,Indiamart Intermesh Ltd.,Consumer Services,Nifty Smallcap 100
INTELLECT.NS,Intellect Design Arena Ltd.,Information Technology,Nifty Smallcap 100
