date,nav
2021-01-01,10000000.0
2021-01-04,9990010.022654818
2021-01-05,10065866.282447146
2021-01-06,10084458.151648806
2021-01-07,10132081.606730746
2021-01-08,9986365.563208865
2021-01-11,9837221.29002695
2021-01-12,9856363.363162326
2021-01-13,9697865.704558657
2021-01-14,9920655.997687625
2021-01-15,9859434.273310946
2021-01-18,9783278.739417361
2021-01-19,9929275.32965021
2021-01-20,9918814.908393191
2021-01-21,9894785.957145022
2021-01-22,9786718.585299777
2021-01-25,9795196.83758478
2021-01-27,9607225.99566202
2021-01-28,9497365.130770968
2021-01-29,9347101.336425113
2021-02-01,9490150.21165781
2021-02-02,9621697.326088939
2021-02-03,9739490.877686534
2021-02-04,9926083.155739818
2021-02-05,9880645.040574107
2021-02-08,10073818.038418803
2021-02-09,10271972.148076091
2021-02-10,10241950.062356029
2021-02-11,10371970.7674723
2021-02-12,10263490.299775157
2021-02-15,10214507.090687785
2021-02-16,10323325.551842723
2021-02-17,10407672.19131187
2021-02-18,10582061.734269176
2021-02-19,10559200.617562328
2021-02-22,10578595.255108867
2021-02-23,10872701.96889976
2021-02-24,10778396.482464824
2021-02-25,10835511.448525462
2021-02-26,10811429.619240794
2021-03-01,10915659.362736735
2021-03-02,11081112.776423449
2021-03-03,11298083.877860064
2021-03-04,11443651.115641588
2021-03-05,11229629.423510546
2021-03-08,11296146.307932848
2021-03-09,11254682.547560686
2021-03-10,11450417.85454082
2021-03-12,11442478.361258501
2021-03-15,11518710.056555742
2021-03-16,11569629.490557665
2021-03-17,11164077.54619121
2021-03-18,11071448.854804033
2021-03-19,11348370.682822222
2021-03-22,11529181.598097796
2021-03-23,11656470.718962664
2021-03-24,11593677.815558428
2021-03-25,11346898.694167132
2021-03-26,11452649.581099505
2021-03-30,11404451.185782427
2021-03-31,11299903.740645403
2021-04-01,11553868.226462359
2021-04-05,11535466.604172701
2021-04-06,11828916.021683687
2021-04-07,12129331.366105074
2021-04-08,12249061.927842135
2021-04-09,12333534.416855806
2021-04-12,11817210.260788912
2021-04-13,11878236.785721773
2021-04-15,11870275.516526217
2021-04-16,12037505.048417086
2021-04-19,11872014.374802584
2021-04-20,11951747.672074312
2021-04-22,12099425.54420566
2021-04-23,12273563.76686191
2021-04-26,12307464.609513277
2021-04-27,12477415.109177584
2021-04-28,12596138.620408053
2021-04-29,12593982.671708101
2021-04-30,12559503.805985445
2021-05-03,12961749.28337192
2021-05-04,13100078.820854655
2021-05-05,13415952.194283
2021-05-06,13682285.47843217
2021-05-07,13923751.175934305
2021-05-10,13786338.41414689
2021-05-11,13712957.912682047
2021-05-12,13596731.037613383
2021-05-14,13396093.825142374
2021-05-17,13707715.939774027
2021-05-18,13888584.454399576
2021-05-19,13997357.577934733
2021-05-20,13892896.42675065
2021-05-21,14057330.096039286
2021-05-24,14232302.092804423
2021-05-25,14138249.636253824
2021-05-26,14093481.51345872
2021-05-27,14232153.192314615
2021-05-28,14063088.309296122
2021-05-31,14169911.21381425
2021-06-01,14343346.861122599
2021-06-02,14839568.716043063
2021-06-03,15062429.104150362
2021-06-04,15364749.120584078
2021-06-07,15260775.663369723
2021-06-08,15233825.944879122
2021-06-09,14981630.833734103
2021-06-10,15373841.142175265
2021-06-11,15588816.487420626
2021-06-14,15904603.670816012
2021-06-15,15691255.33339841
2021-06-16,15264118.205514498
2021-06-17,14888545.385491915
2021-06-18,14758298.88315732
2021-06-21,15109371.198663302
2021-06-22,15281730.595819063
2021-06-23,14980410.531838961
2021-06-24,14856562.925973482
2021-06-25,14931878.132119723
2021-06-28,14778187.150750704
2021-06-29,14849082.07331235
2021-06-30,14773468.805276461
2021-07-01,14652092.043359347
2021-07-02,14551694.757671786
2021-07-05,14451900.180477573
2021-07-06,14597035.280254794
2021-07-07,14652320.157421542
2021-07-08,14650469.27993436
2021-07-09,14598159.914440585
2021-07-12,14476232.535198642
2021-07-13,14503462.169598056
2021-07-14,14256021.575359775
2021-07-15,14470348.194607211
2021-07-16,14470687.19752164
2021-07-19,14319375.507641269
2021-07-20,14191606.541500522
2021-07-22,14640783.782864047
2021-07-23,14789205.679668857
2021-07-26,14868449.885616733
2021-07-27,14978976.509243442
2021-07-28,15144732.942928744
2021-07-29,15063725.121624423
2021-07-30,15009142.09444852
2021-08-02,15081571.472637607
2021-08-03,15103724.824715648
2021-08-04,15176876.817162547
2021-08-05,15238211.087105785
2021-08-06,15454927.212555919
2021-08-09,15296866.762337718
2021-08-10,14951240.19048408
2021-08-11,14896633.01546577
2021-08-12,15121800.767899547
2021-08-13,15158055.610192332
2021-08-16,15277828.030419383
2021-08-17,15728714.85783485
2021-08-18,15974636.349175487
2021-08-20,15979903.65218452
2021-08-23,16069245.117859874
2021-08-24,16453132.552445445
2021-08-25,16826791.75678352
2021-08-26,17080061.076111827
2021-08-27,17349602.110184703
2021-08-30,17708411.935792003
2021-08-31,18141064.033936534
2021-09-01,18394169.571625743
2021-09-02,18595309.33318355
2021-09-03,18593962.44683101
2021-09-06,18544169.75179317
2021-09-07,18477605.507240556
2021-09-08,18528664.14833858
2021-09-09,18498652.00215938
2021-09-13,18587504.46172359
2021-09-14,18528186.743522905
2021-09-15,18758917.829735063
2021-09-16,18697045.309837602
2021-09-17,18808925.910209917
2021-09-20,18640976.552147172
2021-09-21,18721101.66155269
2021-09-22,18812020.535484575
2021-09-23,19218066.515465043
2021-09-24,19355095.54766109
2021-09-27,19211530.951561235
2021-09-28,19088511.309410356
2021-09-29,19269292.99950435
2021-09-30,19575350.854789995
2021-10-01,19746579.281944536
2021-10-04,20069516.66258311
2021-10-05,19963756.995171305
2021-10-06,19886678.6561439
2021-10-07,20136959.864586588
2021-10-08,20224187.461815592
2021-10-11,20436095.057183024
2021-10-12,20479059.371018168
2021-10-13,20571665.242157694
2021-10-14,20800128.36621928
2021-10-18,21250788.287140604
2021-10-19,21019466.89255595
2021-10-20,20653941.223244425
2021-10-21,20583778.480896708
2021-10-22,20145752.938828226
2021-10-25,20074216.49838328
2021-10-26,20848132.000710245
2021-10-27,21328884.702301737
2021-10-28,20314093.350670572
2021-10-29,20391237.964653727
2021-11-01,20769338.36167979
2021-11-02,20745206.07397192
2021-11-03,20862714.77229803
2021-11-04,20966808.577367
2021-11-08,21222474.095090084
2021-11-09,21543152.150754146
2021-11-10,21789041.012677364
2021-11-11,22035561.340169124
2021-11-12,22361293.748158626
2021-11-15,22417776.307805233
2021-11-16,22339260.471318416
2021-11-17,22244680.840451412
2021-11-18,21962574.42412298
2021-11-22,21573426.066723995
2021-11-23,22107527.853123836
2021-11-24,22167206.452687435
2021-11-25,22472073.53829687
2021-11-26,21687966.150632076
2021-11-29,21078677.319844417
2021-11-30,21006582.14489477
2021-12-01,21392369.80064886
2021-12-02,22011656.61016083
2021-12-03,21864650.74419308
2021-12-06,21442172.996176723
2021-12-07,21680800.633615497
2021-12-08,21953807.67800236
2021-12-09,22054516.83255673
2021-12-10,22347239.909951214
2021-12-13,22225373.116828922
2021-12-14,22601107.69040871
2021-12-15,22437834.592720035
2021-12-16,22396533.22881413
2021-12-17,21797366.86121655
2021-12-20,20950546.483162884
2021-12-21,21193815.07323361
2021-12-22,21620174.164148334
2021-12-23,21774337.713326458
2021-12-24,21651540.312645916
2021-12-27,21939441.17257214
2021-12-28,22032410.410668377
2021-12-29,22202867.2840519
2021-12-30,22034622.726614956
2021-12-31,22346939.93411923
2022-01-03,22438098.308083538
2022-01-04,22660822.210143987
2022-01-05,22516630.45626444
2022-01-06,22917809.584473554
2022-01-07,23188789.834640447
2022-01-10,23991667.695903722
2022-01-11,23779100.623520795
2022-01-12,23852575.847362462
2022-01-13,24329400.437780324
2022-01-14,24536192.375880186
2022-01-17,24602923.962814275
2022-01-18,24378986.451763097
2022-01-19,24758480.392467443
2022-01-20,25143813.563486043
2022-01-21,24838265.28679842
2022-01-24,24024227.278783742
2022-01-25,24181963.332830373
2022-01-27,24175866.36880583
2022-01-28,24284054.269907895
2022-01-31,24604647.841385785
2022-02-01,24796151.20105547
2022-02-02,24783007.375258405
2022-02-03,24703216.551442105
2022-02-04,24829896.197281796
2022-02-07,24616050.490145642
2022-02-08,24242858.038350064
2022-02-09,24335400.690112073
2022-02-10,24785361.133652646
2022-02-11,24630264.618822057
2022-02-14,23481273.21566959
2022-02-15,23899955.697818715
2022-02-16,23826633.283985097
2022-02-17,24060036.025269467
2022-02-18,23926207.30851837
2022-02-21,23224198.56660934
2022-02-22,22949405.29882999
2022-02-23,23579462.921375234
2022-02-24,22222840.670563657
2022-02-25,23011259.530444104
2022-02-28,23397504.254047353
2022-03-02,23735352.84657379
2022-03-03,24126393.493004028
2022-03-04,23907887.11170501
2022-03-07,23162579.821776573
2022-03-08,22991508.841331664
2022-03-09,23678763.923777763
2022-03-10,24290713.44536609
2022-03-11,24402223.91987819
2022-03-14,24504606.636729423
2022-03-15,24238921.232439224
2022-03-16,24748842.432337943
2022-03-17,25090687.085789863
2022-03-21,25359883.680998985
2022-03-22,25473407.36784858
2022-03-23,25496236.926661674
2022-03-24,25856518.836674873
2022-03-25,25815483.683919135
2022-03-28,25561197.677317802
2022-03-29,25753563.675844375
2022-03-30,26250282.040184204
2022-03-31,26332380.742909614
2022-04-01,26752224.172789756
2022-04-04,27556203.20676829
2022-04-05,28079380.38749911
2022-04-06,28311335.33697535
2022-04-07,27741536.126213327
2022-04-08,28186701.304378763
2022-04-11,28277376.32063128
2022-04-12,27590082.343036905
2022-04-13,27357521.71117808
2022-04-18,27053794.43584086
2022-04-19,26985962.995472208
2022-04-20,26637885.075172678
2022-04-21,27739957.210468546
2022-04-22,27833047.93769671
2022-04-25,26959470.343538538
2022-04-26,27165663.722908273
2022-04-27,27483098.285541788
2022-04-28,27381482.81483294
2022-04-29,27399184.505852
2022-05-02,26495740.00726153
2022-05-04,25898695.094415877
2022-05-05,25514751.2846081
2022-05-06,24759170.43299601
2022-05-09,24099302.049656127
2022-05-10,23424025.939587805
2022-05-11,22833042.735907767
2022-05-12,22257510.910691474
2022-05-13,22253600.743079398
2022-05-16,22431385.73858759
2022-05-17,23496512.089618895
2022-05-18,23961168.36049292
2022-05-19,23091551.50464842
2022-05-20,23705415.17516825
2022-05-23,23738132.098969672
2022-05-24,23313283.092767928
2022-05-25,22169880.795911048
2022-05-26,22123456.203492377
2022-05-27,22451236.12171671
2022-05-30,23348295.645056937
2022-05-31,23972486.183041785
2022-06-01,24043537.663929198
2022-06-02,24107444.755686615
2022-06-03,24159302.191035125
2022-06-06,24016868.958842132
2022-06-07,23805460.41829953
2022-06-08,23551010.05689511
2022-06-09,23561460.31533322
2022-06-10,23419547.221628997
2022-06-13,22500547.158808563
2022-06-14,22256389.187754486
2022-06-15,22277696.67598996
2022-06-16,21409159.164927337
2022-06-17,21012593.67322812
2022-06-20,20000285.918207977
2022-06-21,21155053.38466916
2022-06-22,20873423.989420746
2022-06-23,21122185.44864926
2022-06-24,21431271.962595794
2022-06-27,21820687.84923825
2022-06-28,21949907.72489438
2022-06-29,21832261.031245086
2022-06-30,21503267.370112274
2022-07-01,21503349.147089813
2022-07-04,21525845.28508132
2022-07-05,21750701.408898763
2022-07-06,21834763.55094283
2022-07-07,21923538.32904189
2022-07-08,22259883.182168417
2022-07-11,22635098.675599508
2022-07-12,22732407.733979635
2022-07-13,22734171.948182516
2022-07-14,22668078.845872335
2022-07-15,23004299.58323043
2022-07-18,23524977.871102743
2022-07-19,23576869.286935262
