date,nav
2026-01-01,10000000.0
2026-01-02,9990023.15305783
2026-01-05,9976788.476849334
2026-01-06,9986299.3825195
2026-01-07,9928631.64487912
2026-01-08,9713131.923535125
2026-01-09,9507342.296917694
2026-01-12,9565116.358258026
2026-01-13,9534902.01142575
2026-01-14,9701688.105511444
2026-01-15,9701688.105511444
2026-01-16,9774640.857769744
2026-01-19,9753386.490673797
2026-01-20,9539609.319378631
2026-01-21,9350184.735150116
2026-01-22,9538430.082073944
2026-01-23,9319738.02769162
2026-01-27,9292964.349560516
2026-01-28,9336665.115093963
2026-01-29,9253624.920788543
2026-01-30,9312087.032208221
2026-02-02,9101919.198712127
2026-02-03,9399496.981954345
2026-02-04,9399431.718114624
2026-02-05,9479116.564977417
2026-02-06,9659006.207280884
2026-02-09,9936972.78861023
2026-02-10,9998989.931325683
2026-02-11,10107560.459447632
2026-02-12,10065167.35992981
2026-02-13,9945503.714589844
2026-02-16,10156566.706517944
2026-02-17,10354993.336934814
2026-02-18,10431514.868810425
2026-02-19,10224936.198537597
2026-02-20,10354112.641988525
2026-02-23,10410921.218847046
2026-02-24,10532719.82777954
2026-02-25,10672073.376760254
2026-02-26,10726594.554708252
2026-02-27,10455336.81406189
2026-03-02,10249864.720235595
2026-03-04,9803027.167747559
2026-03-05,9979286.49636084
2026-03-06,9845489.464942994
2026-03-09,9620825.787529053
2026-03-10,9939785.525749268
2026-03-11,9721739.126640381
2026-03-12,9686174.728782715
2026-03-13,9334525.248481812
2026-03-16,9362249.189201416
2026-03-17,9475204.58028418
2026-03-18,9700765.369010987
2026-03-19,9333052.487358155
2026-03-20,9500398.191856446
2026-03-23,9060666.329635682
2026-03-24,9343348.045967164
2026-03-25,9608475.015739502
2026-03-27,9312664.842063965
2026-03-30,8948020.30571753
2026-04-01,9305177.932510437
2026-04-02,9282276.1412713
2026-04-06,9570278.817533202
2026-04-07,9516427.10825891
2026-04-08,9976869.392202087
2026-04-09,10011209.274709411
2026-04-10,10160918.718862243
2026-04-13,10150608.41863031
2026-04-15,10378703.793004699
2026-04-16,10426748.09338922
2026-04-17,10504556.609883972
2026-04-20,10440017.88712091
2026-04-21,10446069.425649352
2026-04-22,10514892.230306335
2026-04-23,10444782.855886169
2026-04-24,10348024.64203424
2026-04-27,10421012.756658264
2026-04-28,10423404.606740661
2026-04-29,10511849.718694396
2026-04-30,10243566.301152892
2026-05-01,10243566.301152892
2026-05-04,10240104.52268007
2026-05-05,10366518.363378312
2026-05-06,10627518.857946184
2026-05-07,10799383.603093889
2026-05-08,10830907.553624894
2026-05-11,10685375.11429384
2026-05-12,10389126.002599504
2026-05-13,10526807.291295793
2026-05-14,10659825.683812883
2026-05-15,10569348.08908632
2026-05-18,10492715.752752092
2026-05-19,10427976.502202775
2026-05-20,10563207.773229387
2026-05-21,10570230.68283632
2026-05-22,10648215.871923234
2026-05-25,10681115.380498674
2026-05-26,10751253.180211809
2026-05-27,10944118.980657365
2026-05-28,10944118.980657365
2026-05-29,11011622.446386125
2026-06-01,10776627.060460832
2026-06-02,10738257.983814836
2026-06-03,10877418.999226213
2026-06-04,10743771.893849015
2026-06-05,10741943.261463761
2026-06-08,10570129.110035539
2026-06-09,10683906.804859757
2026-06-10,10561883.467915177
2026-06-11,10557349.797718644
2026-06-12,10674127.184467912
2026-06-15,10714395.479115129
2026-06-16,10562475.937458634
2026-06-17,10552021.393696427
2026-06-18,10516616.963612199
2026-06-19,10666801.078571916
2026-06-22,10733178.926228166
2026-06-23,10757441.87550795
2026-06-24,10649616.848652482
2026-06-25,10610298.404438615
2026-06-26,10610298.404438615
2026-06-29,11022781.184254289
