ticker,position_id,shares,avg_cost,last_price,market_value,unrealised_pnl
MFSL.NS,153,1011,1609.0097617747897,1671.800048828125,1690189.8493652344,63480.980210921996
LAURUSLABS.NS,159,3358,861.0862464439815,1106.89794921875,3716963.3134765625,825435.6979176726
FORCEMOT.NS,160,957,17322.452482758617,20566.0,19681662.0,3104074.974000003
FORTIS.NS,162,7484,983.3495231549442,883.063232421875,6608845.2314453125,-750542.5998462901
EICHERMOT.NS,163,1702,6942.582011969489,7236.71826171875,12316894.481445312,500619.8970732422
TVSMOTOR.NS,164,1403,3464.4639326171873,3706.843505859375,5200701.438720703,340058.5412587893
LTF.NS,165,45200,279.1773382333381,312.730224609375,14135406.15234375,1516590.4641968675
MANAPPURAM.NS,166,55752,264.597279724121,306.6579895019531,17096796.23071289,2344968.691533697
MARUTI.NS,167,532,16093.609758789064,16530.978515625,8794480.5703125,232680.1786367182
RBLBANK.NS,168,33940,301.7709519042969,314.9844970703125,10690573.830566406,448467.7229345692
