date,ticker,side,shares,price,notional,cost
2021-01-04,OFSS.NS,BUY,71,2546.72314453125,180817.34326171875,180.81734326171875
2021-01-04,TATAELXSI.NS,BUY,309,1763.76025390625,545001.9184570312,545.0019184570313
2021-01-04,NEULANDLAB.NS,BUY,337,1077.8621826171875,363239.5555419922,363.2395555419922
2021-01-04,NAVINFLUOR.NS,BUY,419,2598.978515625,1088971.998046875,1088.9719980468751
2021-01-04,DIXON.NS,BUY,529,2748.609619140625,1454014.4885253906,1454.0144885253906
2021-01-04,DRREDDY.NS,BUY,716,1015.383056640625,727014.2685546875,727.0142685546875
2021-01-04,TATACOMM.NS,BUY,1244,1022.8487548828124,1272423.8510742185,1272.4238510742186
2021-01-04,ADANIGREEN.NS,BUY,1680,1082.25,1818180.0,1818.18
2021-01-04,LAURUSLABS.NS,BUY,4636,352.9010314941406,1636049.182006836,1636.049182006836
2021-01-04,CGPOWER.NS,BUY,20805,43.46510696411133,904291.5503883362,904.2915503883362
2021-02-02,LAURUSLABS.NS,SELL,337,340.37811279296875,114707.42401123047,114.70742401123047
2021-02-02,NEULANDLAB.NS,SELL,337,1376.72607421875,463956.68701171875,463.95668701171877
2021-02-02,TATAELXSI.NS,SELL,309,2682.722900390625,828961.3762207031,828.9613762207032
2021-02-02,DRREDDY.NS,SELL,293,863.2850952148438,252942.53289794922,252.94253289794923
2021-02-02,NAVINFLUOR.NS,SELL,123,2469.144775390625,303704.8073730469,303.7048073730469
2021-02-02,DIXON.NS,SELL,121,3132.4931640625,379031.6728515625,379.0316728515625
2021-02-02,TATACOMM.NS,SELL,34,906.9866333007812,30837.545532226562,30.837545532226564
2021-02-02,OFSS.NS,BUY,2,2478.909912109375,4957.81982421875,4.95781982421875
2021-02-02,ADANIGREEN.NS,BUY,92,1031.949951171875,94939.3955078125,94.9393955078125
2021-02-02,DIVISLAB.NS,BUY,266,3428.137451171875,911884.5620117188,911.8845620117188
2021-02-02,INFY.NS,BUY,501,1095.4033203125,548797.0634765625,548.7970634765625
2021-02-02,CGPOWER.NS,BUY,19845,40.50157165527344,803753.6894989014,803.7536894989014
2021-03-02,CGPOWER.NS,SELL,7208,56.80098724365234,409421.51605224604,409.42151605224603
2021-03-02,NAVINFLUOR.NS,SELL,296,2759.696533203125,816870.173828125,816.870173828125
2021-03-02,DRREDDY.NS,SELL,175,848.3015747070312,148452.77557373047,148.45277557373046
2021-03-02,DIVISLAB.NS,SELL,142,3397.51318359375,482446.8720703125,482.4468720703125
2021-03-02,OFSS.NS,SELL,73,2416.234619140625,176385.12719726562,176.38512719726563
2021-03-02,TATACOMM.NS,SELL,71,1111.4547119140625,78913.28454589844,78.91328454589843
2021-03-02,DIXON.NS,SELL,16,3764.675537109375,60234.80859375,60.23480859375
2021-03-02,ADANIGREEN.NS,BUY,39,1164.8499755859375,45429.14904785156,45.42914904785157
2021-03-02,INFY.NS,BUY,62,1124.053955078125,69691.34521484375,69.69134521484375
2021-03-02,LAURUSLABS.NS,BUY,443,356.0188293457031,157716.34140014648,157.7163414001465
2021-03-02,CIPLA.NS,BUY,1089,774.6578979492188,843602.4508666992,843.6024508666992
2021-03-02,GPIL.NS,BUY,7420,142.21578979492188,1055241.1602783203,1055.2411602783204
2021-04-05,CIPLA.NS,SELL,1089,782.2442016601562,851863.9356079102,851.8639356079102
2021-04-05,INFY.NS,SELL,563,1214.8743896484375,683974.2813720703,683.9742813720703
2021-04-05,GPIL.NS,SELL,531,193.27545166015625,102629.26483154297,102.62926483154297
2021-04-05,TATACOMM.NS,SELL,492,1027.9305419921875,505741.82666015625,505.7418266601563
2021-04-05,DRREDDY.NS,SELL,248,877.5560302734375,217633.8955078125,217.6338955078125
2021-04-05,DIVISLAB.NS,SELL,124,3488.467529296875,432569.9736328125,432.5699736328125
2021-04-05,ADANIGREEN.NS,SELL,96,1164.199951171875,111763.1953125,111.7631953125
2021-04-05,DIXON.NS,SELL,74,3489.295654296875,258207.87841796875,258.20787841796874
2021-04-05,LAURUSLABS.NS,BUY,89,367.52386474609375,32709.623962402344,32.70962396240235
2021-04-05,ADANIENT.NS,BUY,195,1134.984375,221321.953125,221.321953125
2021-04-05,NEULANDLAB.NS,BUY,196,2260.34423828125,443027.470703125,443.027470703125
2021-04-05,TATAELXSI.NS,BUY,331,2677.66015625,886305.51171875,886.30551171875
2021-04-05,CGPOWER.NS,BUY,369,65.64218139648438,24221.964935302734,24.221964935302736
2021-04-05,COHANCE.NS,BUY,3329,466.2427673339844,1552122.172454834,1552.122172454834
2021-05-04,LAURUSLABS.NS,SELL,3256,482.8206787109375,1572064.1298828125,1572.0641298828125
2021-05-04,COHANCE.NS,SELL,2850,528.574462890625,1506437.2192382812,1506.4372192382814
2021-05-04,GPIL.NS,SELL,1446,232.9329376220703,336821.0278015137,336.82102780151365
2021-05-04,TATACOMM.NS,SELL,647,1011.1610717773438,654221.2134399414,654.2212134399414
2021-05-04,TATAELXSI.NS,SELL,331,3606.98388671875,1193911.6665039062,1193.9116665039062
2021-05-04,CGPOWER.NS,SELL,278,75.6194076538086,21022.19532775879,21.02219532775879
2021-05-04,NEULANDLAB.NS,BUY,4,2526.455810546875,10105.8232421875,10.1058232421875
2021-05-04,DIXON.NS,BUY,50,4125.1103515625,206255.517578125,206.255517578125
2021-05-04,ADANIGREEN.NS,BUY,226,1045.0999755859375,236192.59448242188,236.19259448242187
2021-05-04,PERSISTENT.NS,BUY,958,1058.262939453125,1013815.8959960938,1013.8158959960938
2021-05-04,ADANIENT.NS,BUY,1617,1258.8778076171875,2035605.4149169922,2035.6054149169922
2021-05-04,POONAWALLA.NS,BUY,14622,121.1858139038086,1771978.9709014893,1771.9789709014892
2021-06-02,ADANIGREEN.NS,SELL,619,1299.800048828125,804576.2302246094,804.5762302246094
2021-06-02,ADANIENT.NS,SELL,326,1542.3123779296875,502793.8352050781,502.79383520507815
2021-06-02,PERSISTENT.NS,SELL,236,1190.3052978515625,280912.05029296875,280.91205029296873
2021-06-02,DIXON.NS,SELL,233,4227.63671875,985039.35546875,985.03935546875
2021-06-02,COHANCE.NS,BUY,89,504.0712585449219,44862.34201049805,44.86234201049805
2021-06-02,NEULANDLAB.NS,BUY,354,2068.2705078125,732167.759765625,732.167759765625
2021-06-02,CGPOWER.NS,BUY,672,83.76911163330078,56292.843017578125,56.29284301757813
2021-06-02,LAURUSLABS.NS,BUY,1136,528.3258666992188,600178.1845703125,600.1781845703125
2021-06-02,POONAWALLA.NS,BUY,2757,148.37969970703125,409082.83209228516,409.0828320922852
2021-06-02,GPIL.NS,BUY,3086,235.11582946777344,725567.4497375488,725.5674497375488
2021-07-02,POONAWALLA.NS,SELL,17379,151.9890594482422,2641417.864151001,2641.417864151001
2021-07-02,GPIL.NS,SELL,2893,318.1380615234375,920373.4119873047,920.3734119873047
2021-07-02,ADANIGREEN.NS,SELL,1322,1015.2999877929688,1342226.5838623047,1342.2265838623048
2021-07-02,COHANCE.NS,SELL,568,478.5431518554688,271812.5102539063,271.81251025390634
2021-07-02,NEULANDLAB.NS,SELL,417,2171.781982421875,905633.0866699219,905.6330866699219
2021-07-02,PERSISTENT.NS,SELL,85,1407.3818359375,119627.4560546875,119.6274560546875
2021-07-02,DIXON.NS,SELL,3,4509.02294921875,13527.06884765625,13.52706884765625
2021-07-02,ADANIENT.NS,BUY,409,1418.8826904296875,580323.0203857422,580.3230203857422
2021-07-02,LAURUSLABS.NS,BUY,423,667.44970703125,282331.22607421875,282.33122607421876
2021-07-02,APLAPOLLO.NS,BUY,1486,803.971435546875,1194701.5532226562,1194.7015532226562
2021-07-02,JSWSTEEL.NS,BUY,2364,631.837158203125,1493663.0419921875,1493.6630419921876
2021-07-02,ATGL.NS,BUY,2601,919.1531372070312,2390717.3098754883,2390.7173098754884
2021-07-02,CGPOWER.NS,BUY,3274,79.5707778930664,260514.7268218994,260.51472682189944
2021-08-03,LAURUSLABS.NS,SELL,1675,637.655029296875,1068072.1740722656,1068.0721740722656
2021-08-03,GPIL.NS,SELL,1623,386.4046630859375,627134.7681884766,627.1347681884765
2021-08-03,APLAPOLLO.NS,SELL,1486,887.4928588867188,1318814.388305664,1318.8143883056641
2021-08-03,JSWSTEEL.NS,SELL,1483,703.5936889648438,1043429.4407348633,1043.4294407348632
