date,ticker,side,shares,price,notional,cost
2026-01-02,MARUTI.NS,BUY,54,16791.36328125,906733.6171875,906.7336171875
2026-01-02,NAVINFLUOR.NS,BUY,61,5895.90673828125,359650.31103515625,359.6503110351563
2026-01-02,EICHERMOT.NS,BUY,75,7258.490234375,544386.767578125,544.386767578125
2026-01-02,FORCEMOT.NS,BUY,85,21230.0,1804550.0,1804.55
2026-01-02,SBILIFE.NS,BUY,88,2064.530029296875,181678.642578125,181.678642578125
2026-01-02,LAURUSLABS.NS,BUY,657,1105.3994140625,726247.4150390625,726.2474150390625
2026-01-02,INDIANB.NS,BUY,1293,843.4326171875,1090558.3740234375,1090.5583740234374
2026-01-02,ABCAPITAL.NS,BUY,3523,361.25,1272683.75,1272.68375
2026-01-02,LTF.NS,BUY,4595,316.4914855957031,1454278.3763122559,1454.278376312256
2026-01-02,RBLBANK.NS,BUY,5114,319.9217224121094,1636079.6884155273,1636.0796884155275
2026-02-03,RBLBANK.NS,SELL,2301,303.9630432128906,699418.9624328613,699.4189624328613
2026-02-03,INDIANB.NS,SELL,1093,851.9511108398438,931182.5641479492,931.1825641479493
2026-02-03,SBILIFE.NS,SELL,88,1999.3206787109373,175940.21972656247,175.94021972656247
2026-02-03,EICHERMOT.NS,SELL,75,7140.228515625,535517.138671875,535.517138671875
2026-02-03,NAVINFLUOR.NS,SELL,61,6272.953125,382650.140625,382.650140625
2026-02-03,MARUTI.NS,SELL,54,14635.01953125,790291.0546875,790.2910546875
2026-02-03,POWERINDIA.NS,BUY,60,19696.296875,1181777.8125,1181.7778125
2026-02-03,CUMMINSIND.NS,BUY,166,4112.830078125,682729.79296875,682.72979296875
2026-02-03,ANANDRATHI.NS,BUY,232,1472.9603271484375,341726.7958984375,341.7267958984375
2026-02-03,LAURUSLABS.NS,BUY,395,974.629638671875,384978.7072753906,384.97870727539066
2026-02-03,ABCAPITAL.NS,BUY,437,345.45001220703125,150961.65533447266,150.96165533447265
2026-02-03,LTF.NS,BUY,867,281.7986755371094,244319.45169067383,244.31945169067384
2026-02-03,CANBK.NS,BUY,3597,142.63479614257812,513057.3617248535,513.0573617248535
2026-03-04,ANANDRATHI.NS,SELL,232,1566.2772216796875,363376.3154296875,363.3763154296875
2026-03-04,INDIANB.NS,SELL,200,919.4140014648438,183882.80029296875,183.88280029296877
2026-03-04,CUMMINSIND.NS,SELL,166,4547.0849609375,754816.103515625,754.8161035156251
2026-03-04,LTF.NS,SELL,145,268.2877502441406,38901.72378540039,38.90172378540039
2026-03-04,POWERINDIA.NS,SELL,60,24494.15234375,1469649.140625,1469.649140625
2026-03-04,FORCEMOT.NS,SELL,2,21450.0,42900.0,42.9
2026-03-04,GVT&D.NS,BUY,145,3673.507568359375,532658.5974121094,532.6585974121094
2026-03-04,LAURUSLABS.NS,BUY,160,1029.574951171875,164731.9921875,164.7319921875
2026-03-04,IIFL.NS,BUY,371,479.9500122070313,178061.45452880862,178.06145452880864
2026-03-04,RBLBANK.NS,BUY,692,305.2596740722656,211239.6944580078,211.23969445800782
2026-03-04,AUBANK.NS,BUY,754,945.1820678710938,712667.2791748047,712.6672791748047
2026-03-04,ABCAPITAL.NS,BUY,1031,321.54998779296875,331518.0374145508,331.5180374145508
2026-03-04,CUB.NS,BUY,1838,193.9702911376953,356517.395111084,356.517395111084
2026-03-04,CANBK.NS,BUY,2672,142.23788452148438,380059.62744140625,380.05962744140623
2026-04-02,RBLBANK.NS,SELL,2380,300.22271728515625,714530.0671386719,714.5300671386719
2026-04-02,CUB.NS,SELL,1838,178.6934051513672,328438.4786682129,328.4384786682129
2026-04-02,LTF.NS,SELL,1767,237.900634765625,420370.4216308594,420.37042163085937
2026-04-02,LAURUSLABS.NS,SELL,1050,1041.86279296875,1093955.9326171875,1093.9559326171875
2026-04-02,ABCAPITAL.NS,SELL,460,298.25,137195.0,137.195
2026-04-02,IIFL.NS,SELL,371,434.8999938964844,161347.8977355957,161.3478977355957
2026-04-02,AUBANK.NS,SELL,170,867.4076538085938,147459.30114746094,147.45930114746093
2026-04-02,GVT&D.NS,SELL,145,3812.7626953125,552850.5908203125,552.8505908203125
2026-04-02,FORCEMOT.NS,SELL,52,21126.0,1098552.0,1098.5520000000001
2026-04-02,MCX.NS,BUY,691,2443.0,1688113.0,1688.113
2026-04-02,CANBK.NS,BUY,1972,122.98306274414062,242522.5997314453,242.52259973144533
2026-04-02,HINDCOPPER.NS,BUY,2388,495.1499938964844,1182418.1854248047,1182.4181854248047
2026-04-02,NATIONALUM.NS,BUY,3812,398.7948303222656,1520205.8931884766,1520.2058931884767
2026-05-04,CANBK.NS,SELL,6813,130.49525451660156,889064.1690216064,889.0641690216065
2026-05-04,ABCAPITAL.NS,SELL,2915,345.8500061035156,1008152.767791748,1008.152767791748
2026-05-04,LTF.NS,SELL,2232,282.7389831542969,631073.4104003906,631.0734104003907
2026-05-04,RBLBANK.NS,SELL,1125,329.3473205566406,370515.7356262207,370.5157356262207
2026-05-04,NATIONALUM.NS,SELL,589,404.7499694824219,238397.73202514648,238.3977320251465
